,1997,1999,2001,2003,2005,2007,2009,2011,2013
Anaheim,0.05174090148755406,0.03745600064768983,0.023011133958294572,0.017846963883154973,0.006402867215941891,0.0017805759373072578,0.01994574764909008,0.02353003133190076,0.03058014501551509
Atlanta,0.04270867119571254,0.04014374243379646,0.03645856297128372,0.029946872538506784,0.032204831733962457,0.037672833215770786,0.038976810950323446,0.06826506962243316,0.07530891265158779
Baltimore,0.04237991573134771,0.04007177979992272,0.04996784537685641,0.045821635519855186,0.03244513504409539,0.015839524874903917,0.024977107984940173,0.026683630991048916,0.026460622701766634
Boston,0.03849245816952882,0.025384188967977513,0.015582228001648539,0.00849314629721495,0.016370638019444043,0.005291661372468764,0.02043550509057594,0.015873949391933297,0.012493679078233186
Chicago,0.033370729551830826,0.02905993068461008,0.030890549472889186,0.022568580066872936,0.01661443105869139,0.014008523486552292,0.021871761993842245,0.0501054644817714,0.03657069868680884
Cleveland,0.018966009842181265,0.02508591594350096,0.0322920434923377,0.026143281593608958,0.03228142175716792,0.023146061067560862,0.03175432029373089,0.047465466041021365,0.05276551746499875
Dallas,0.048713147018121614,0.052035940415411465,0.05127652573764075,0.04889643730830341,0.04869973830582789,0.04975938677949432,0.056194671513955526,0.06452240603786324,0.06681566637293357
Houston,0.053990593363373744,0.05060834814148181,0.05063388520919806,0.040355364968072925,0.04007538671492288,0.0467194104869519,0.04576033589575559,0.051850430048874976,0.05256944227804775
Kansas City,0.04433235549385452,0.04236092971495077,0.04722278299777028,0.04075961425451315,0.04263963371718005,0.04895118541655088,0.05476778548727131,0.05293466694978113,0.0570119551848154
Los Angeles,0.03344166923635733,0.03140097185835399,0.029043100017931173,0.016124537844610768,0.007920236621607657,0.003339669169428255,0.020283784958283476,0.021902607358171483,0.03674390724764096
Miami,0.04779895467513339,0.05042880025656701,0.0502675821591365,0.03227041808668012,0.021851317362601787,0.027016851685184272,0.04509837892693593,0.06593436538597364,0.06319327115436855
Minneapolis,0.04867465083106131,0.044506684951118904,0.03960720542879255,0.028575688768370678,0.0316095497822519,0.028606537667626126,0.03699223643172965,0.04194969038682997,0.05186134270386627
New York,0.03586396783650803,0.024964200020043573,0.018459951495352848,0.008355543668556923,0.010370029385024057,0.00961104477923563,0.0007180493211086502,0.00026645929086400604,0.0044863369828328555
Newark,0.03226985901426636,0.023415532457756263,0.02474741262549062,0.012393783778257575,0.012903222552921003,0.0005620909710875844,0.014017235977804849,0.0085737352290845,0.021365118593355818
Oakland,0.0416802302689151,0.02359374508968907,0.009498083429612052,0.01259030687794092,0.0021571372942188584,0.018110040716627297,0.014727117522252949,0.03145816412305505,0.017826575945429978
Oklahoma City,0.045106130060775,0.04327816041786298,0.054180551034464834,0.05085147285546847,0.047048744448385776,0.042861034798167046,0.037569088224504506,0.04200984713201764,0.042164292936963846
Philadelphia,0.045898775889544316,0.04593667232099768,0.04622344008398452,0.03927266342197242,0.04182563753390893,0.01985007964702102,0.02656148673008846,0.027121509632626044,0.033153521843200334
Phoenix,0.04532122789631232,0.04126493636714298,0.03969483528832773,0.04200629634389735,0.030633158228587642,0.026658884470733585,0.05000063924047321,0.06549880240609832,0.04497818266346754
Pittsburgh,0.040357399471013806,0.041824823315973605,0.05097667887464027,0.05192339834538384,0.06012544268339793,0.04345663391461744,0.051765140518205535,0.04686118504225786,0.06834371875894027
Riverside,0.0589266272380907,0.05931505563247626,0.04713126315447647,0.0405991491601757,0.01700260021500612,0.013192251680676401,0.039455283409510385,0.061783026108247596,0.04966105413474375
San Diego,0.04927780455594074,0.052576777489744646,0.028413679885614704,0.013776545450531016,0.008132980525635184,0.008170545027061361,0.02709082472876304,0.03439228292878942,0.020849236646444013
San Francisco,0.029807305631300404,0.00923003069762908,0.005526254871745079,0.006659224913116151,-0.007198218910055091,-0.003749824521626604,0.0033031975914579177,0.002283295613982277,0.0015067819009390163
San Jose,0.04147191372108786,0.01711915497462818,0.017196536399441322,0.009693620056908386,0.004847292416587056,0.002026836499045064,0.015393195149459502,0.020939782348888047,0.015382473405577324
Seattle,0.02264079887790331,0.019937873812821506,0.020523895084765934,0.02087235461360263,0.018245332113321938,0.010550101548937912,0.01408904876554572,0.0164154767628855,0.024029803535350367
St. Louis,0.03661237870868198,0.04236954731649213,0.04494447695427362,0.043626652189290405,0.036963510980367355,0.03638484913287452,0.04638509858003871,0.04606549590229528,0.055553862578317924
Tampa,0.054419939136412555,0.06223888546095177,0.05995156179374647,0.04935421088814837,0.03555752467676653,0.03130454824401492,0.05810325436214571,0.06639017516462015,0.06948028876349562
Washington,0.04677169125026643,0.055996021783934445,0.046261634526313454,0.039223980357192566,0.032823489530128896,0.019113981864410937,0.027303949182539124,0.032018748116256615,0.0401481510471594
